cliente,producto
176,7
216,9
254,7
240,6
243,7
293,9
299,4
267,5
217,8
187,8
228,8
272,8
249,7
247,8
217,6
246,8
339,8
163,8
278,7
264,6
322,4
268,8
254,5
192,10
308,10
238,8
242,7
244,10
251,8
343,6
200,8
207,8
165,9
280,7
238,5
207,9
228,6
297,5
270,8
259,9
195,6
254,8
270,6
308,7
306,8
298,4
195,7
252,8
239,7
122,8
316,6
199,8
260,5
234,9
305,6
206,8
260,5
242,9
297,9
259,8
245,7
270,7
195,8
265,6
244,9
339,7
252,10
191,7
172,5
174,6
317,8
210,6
245,6
252,8
186,6
211,8
231,8
253,8
247,7
283,8
277,6
230,7
247,6
332,9
190,9
220,8
263,8
222,6
288,9
259,9
289,6
185,7
174,8
211,8
195,9
280,4
224,8
280,7
183,9
292,8
230,9
276,7
221,6
90,5
269,8
333,8
214,7
252,7
274,7
225,7
275,8
251,8
265,1
236,7
149,7
213,7
307,6
253,6
245,6
168,5
249,9
231,4
281,9
279,9
269,6
155,5
276,8
225,9
218,9
257,5
232,10
263,9
170,8
258,9
296,6
243,6
243,8
221,9
255,6
291,8
279,8
293,7
206,8
237,6
352,8
283,6
291,7
308,7
217,7
245,7
310,8
236,8
183,7
268,3
236,8
207,7
241,7
187,8
186,7
257,6
221,9
337,5
169,4
241,8
243,5
339,8
196,8
225,6
261,4
226,7
306,5
290,10
223,7
270,9
250,4
239,8
136,9
331,6
262,6
250,6
256,9
264,8
257,9
242,7
261,9
296,8
300,8
311,8
294,4
224,5
215,8
341,9
291,7
250,6
283,7
220,9
276,7
258,9
220,8
246,10
237,5
209,9
197,8
207,4
288,5
194,7
215,7
350,9
318,7
242,9
201,9
278,5
254,6
305,9
302,6
245,5
265,5
194,7
272,8
230,6
329,6
334,8
297,9
261,5
297,6
137,7
360,10
246,3
185,5
289,9
193,6
265,9
282,4
151,8
212,8
269,8
298,8
201,6
222,9
207,8
328,6
332,8
278,9
243,8
200,6
298,8
290,8
210,6
253,8
256,9
137,8
186,6
248,8
256,9
296,8
329,4
235,7
275,6
201,8
257,5
233,9
253,7
221,9
204,9
263,8
248,7
260,10
272,6
195,7
291,4
251,8
207,8
251,7
281,8
292,9
267,5
263,8
188,8
283,8
245,8
374,8
286,9
303,7
171,4
333,10
327,9
291,5
235,10
164,8
200,5
236,5
385,7
270,7
224,6
299,9
327,7
276,9
254,6
144,7
339,7
226,9
322,7
245,9
275,7
307,7
321,9
315,9
303,8
281,8
333,9
180,9
342,7
193,6
249,9
202,7
270,5
243,7
276,6
176,7
257,5
177,9
211,5
244,10
194,9
316,9
350,7
189,4
222,7
152,6
239,9
306,6
234,6
270,9
170,4
218,9
241,9
235,8
268,10
204,6
261,5
232,8
224,4
290,8
262,6
252,9
260,7
239,9
239,8
272,7
268,9
178,7
277,7
155,5
257,7
256,6
209,9
307,7
241,8
279,9
190,8
166,6
327,8
182,5
250,8
312,6
199,9
157,9
328,8
381,6
238,5
269,8
300,7
196,9
310,7
297,9
271,7
221,6
301,8
112,10
234,8
237,9
336,5
206,6
288,7
260,6
208,7
341,8
245,8
289,7
280,6
282,6
355,8
257,9
306,6
280,7
290,5
168,6
255,9
244,9
277,4
273,9
117,6
256,5
280,8
279,8
251,8
236,5
332,8
248,7
216,7
250,9
291,6
169,6
243,6
212,6
306,7
254,4
190,9
295,5
255,7
224,9
337,3
237,9
305,6
229,9
255,7
203,6
317,5
269,6
224,7
259,4
303,4
190,9
220,9
231,9
298,9
235,5
228,5
330,9
297,8
210,4
225,9
267,7
243,7
225,6
199,9
325,8
293,4
99,7
217,9
321,7
311,9
281,5
275,8
335,8
254,8
240,6
301,8
208,5
210,5
303,8
187,8
289,5
224,8
343,8
217,9
249,7
246,3
205,8
296,5
235,6
269,8
325,9
163,7
218,6
287,7
274,6
253,7
230,9
226,5
254,8
232,6
277,7
267,6
220,9
246,10
236,7
222,7
201,7
146,8
259,5
197,7
334,8
279,8
326,7
208,10
199,7
343,6
152,9
242,7
269,7
215,8
197,8
207,7
182,10
267,9
158,9
270,8
250,4
253,4
211,9
289,7
290,6
188,9
197,8
256,9
310,9
198,4
235,6
261,7
213,6
254,9
205,5
290,9
245,10
246,8
298,8
167,7
286,6
279,7
228,8
251,5
275,6
238,6
315,9
223,4
325,7
222,8
199,7
260,9
256,6
209,6
256,9
259,10
214,7
274,7
212,6
329,5
219,8
275,5
242,4
284,8
274,6
262,7
145,8
249,7
286,6
271,8
181,6
321,6
200,8
253,2
199,7
282,9
221,8
274,6
248,6
241,8
341,10
258,9
243,8
276,5
256,9
279,7
259,8
274,9
252,9
189,9
216,8
204,9
231,9
319,8
222,7
347,8
221,7
242,8
301,7
303,9
246,7
299,7
217,10
279,8
277,6
248,4
366,9
257,4
296,8
274,8
152,6
220,8
269,5
159,8
296,5
314,9
243,8
274,9
292,8
237,7
181,8
252,7
216,6
336,9
354,5
218,7
306,7
184,8
313,10
262,5
214,7
252,6
296,10
277,9
265,8
290,3
308,7
229,6
264,7
184,7
334,6
339,9
185,5
292,5
204,7
299,5
281,7
231,7
304,9
244,9
216,9
206,7
321,8
225,9
180,8
266,8
237,8
203,8
246,9
249,7
255,3
240,7
219,8
294,7
259,6
289,8
227,9
143,8
314,5
344,7
306,7
260,7
306,9
318,4
252,3
232,6
191,9
234,6
238,6
205,6
181,7
242,8
186,5
293,9
250,7
237,5
253,5
315,6
221,6
179,8
250,8
282,10
133,7
232,8
145,9
130,5
312,9
226,10
255,5
270,7
291,8
248,5
265,7
299,9
282,9
289,8
232,9
180,10
262,4
181,6
169,5
217,9
255,5
189,8
151,5
316,5
198,8
357,6
336,8
220,5
180,8
172,9
170,6
242,7
208,10
293,4
205,6
319,8
285,10
174,6
202,8
213,9
187,7
239,7
148,8
233,6
254,6
263,5
261,5
334,9
273,7
221,6
260,10
304,6
281,6
227,9
322,7
289,6
302,8
182,9
183,6
332,7
206,7
190,3
262,6
212,7
273,7
258,6
219,7
278,6
220,10
245,9
301,5
259,8
253,5
233,7
290,8
213,8
285,6
295,7
319,5
219,5
284,7
209,8
225,6
250,5
260,3
205,8
185,9
204,5
138,5
384,9
207,7
231,8
288,6
309,3
201,7
244,9
308,7
216,8
222,7
202,7
247,6
224,9
164,9
252,10
276,9
233,5
230,8
267,7
214,8
249,8
215,6
307,6
223,6
207,10
244,6
255,9
189,7
358,9
186,7
278,8
281,6
299,8
198,6
284,5
323,9
239,7
193,7
178,9
273,6
192,7
322,8
281,7
322,8
160,7
225,8
209,6
215,7
290,3
266,4
157,7
326,8
256,5
306,9
322,6
288,10
236,5
231,4
222,9
193,5
151,8
247,9
213,6
206,7
239,6
323,7
265,7
260,8
260,6
314,9
177,8
248,5
273,9
205,8
244,6
298,8
317,7
169,7
273,4
284,8
189,4
311,8
178,6
47,7
236,9
217,7
305,9
230,8
289,8
292,9
267,9
286,8
249,4
248,9
186,10
262,9
235,8
236,8
184,9
267,8
203,9
214,7
293,9
298,10
241,9
332,6
262,8
174,7
254,8
230,7
215,5
234,7
243,7
252,6
290,8
211,7
253,7
283,8
104,8
210,9
208,8
269,8
185,5
254,9
339,7
346,8
288,7
260,2
219,7
269,7
199,6
244,3
198,9
199,5
303,8
231,8
190,6
253,8
268,8
283,7
284,7
349,9
234,4
329,5
289,8
233,7
258,9
220,9
189,9
275,5
221,7
327,8
278,7
192,8
281,8
265,5
360,6
302,7
274,8
237,9
250,7
166,5
198,7
160,9
283,5
225,7
195,7
236,6
195,7
320,7
278,9
303,10
156,5
254,5
232,9
258,9
255,4
135,10
208,9
284,3
248,5
280,8
265,4
234,8
185,9
177,5
304,8
136,4
313,6
314,5
297,5
266,7
289,4
261,8
309,7
205,9
264,6
193,8
111,7
363,6
223,2
260,6
283,9
192,6
245,9
249,6
162,5
317,9
279,9
229,3
313,7
232,6
260,9
289,8
303,8
336,5
240,8
291,8
235,6
288,7
250,7
195,6
298,7
231,8
229,7
250,9
268,4
180,6
291,9
280,7
322,8
282,6
266,9
282,8
308,7
323,6
250,8
338,7
196,9
153,9
301,7
253,8
199,9
273,9
249,9
262,7
242,7
296,6
306,9
245,9
234,8
106,7
253,7
193,8
234,6
312,8
220,9
271,7
193,8
181,9
226,9
302,7
219,10
197,8
257,6
294,6
276,5
248,8
265,8
263,7
267,7
190,6
285,4
263,6
295,8
230,7
324,8
263,9
256,5
221,7
306,4
259,8
217,8
344,5
288,7
273,3
265,7
255,10
233,7
245,8
262,7
212,8
252,8
315,4
224,6
307,7
168,8
296,6
295,10
244,5
257,8
387,8
359,9
268,5
267,9
221,6
340,4
216,9
166,8
253,6
182,6
243,9
300,10
221,8
279,9
213,8
250,8
359,7
193,8
264,8
184,9
187,4
202,4
210,4
138,9
259,6
224,9
164,7
242,8
229,6
239,9
224,7
256,6
195,7
192,4
306,7
227,9
316,7
291,8
204,9
270,9
294,7
264,7
304,8
287,5
318,5
256,5
295,6
294,7
237,7
194,9
277,6
202,9
198,4
311,10
251,8
241,3
216,7
271,8
244,6
284,9
254,6
251,5
276,6
207,5
154,7
166,8
273,9
231,7
266,4
251,8
224,9
234,9
302,8
229,7
289,8
181,4
254,2
278,6
192,8
259,6
295,6
244,9
245,9
217,7
343,6
263,6
370,4
251,9
243,4
259,9
345,8
306,7
309,9
212,5
225,5
272,6
256,7
131,9
216,9
308,9
208,9
271,7
233,6
247,9
229,7
199,6
314,7
192,6
241,6
194,6
273,8
218,8
233,7
308,3
181,7
170,8
265,4
258,4
203,6
242,9
228,3
127,9
261,8
264,6
290,7
251,4
275,8
301,6
362,7
212,3
201,7
196,10
302,10
235,7
204,7
297,8
303,8
151,7
328,6
282,7
217,7
281,9
302,8
246,7
265,7
234,8
282,9
381,7
346,6
272,8
315,5
233,8
115,9
221,7
235,7
261,7
195,9
291,6
226,9
227,5
267,7
229,2
272,5
258,7
311,7
264,10
308,6
252,8
279,6
282,7
161,8
242,4
295,5
222,4
219,5
276,9
288,9
240,6
261,7
247,8
273,6
308,5
327,8
185,4
268,7
255,9
204,8
230,6
232,8
232,8
247,6
259,4
251,3
292,4
231,7
225,9
309,7
211,5
265,7
273,10
190,7
124,8
261,8
266,7
314,5
239,5
168,5
251,7
290,7
168,4
294,9
283,8
316,9
243,8
294,6
234,9
287,7
255,8
266,9
267,7
296,7
255,8
234,8
286,8
312,9
266,6
231,9
293,7
300,6
192,4
233,8
238,8
245,8
272,9
254,7
200,9
310,8
233,5
287,9
142,4
168,5
250,8
295,9
210,9
219,8
181,9
210,6
252,6
211,7
286,9
289,7
228,6
265,7
237,6
191,7
234,8
208,8
246,7
284,8
245,8
217,7
216,8
204,6
185,5
228,10
215,8
250,5
277,8
211,10
152,7
255,8
245,3
224,9
285,10
227,7
225,7
224,8
304,8
228,7
286,8
263,9
293,8
244,7
258,7
266,6
279,5
221,8
195,9
234,8
269,7
228,9
191,9
341,9
247,9
352,9
275,8
295,5
300,8
245,9
243,8
268,9
252,8
319,7
303,9
338,8
295,8
212,6
232,7
254,7
392,9
166,6
316,9
288,8
244,9
303,8
240,9
226,8
288,5
240,9
254,9
199,8
323,5
225,9
161,8
283,8
267,6
175,10
245,8
218,5
295,8
204,8
278,6
249,8
177,6
174,8
192,9
229,8
308,8
237,5
191,6
323,8
287,8
286,9
182,6
245,9
211,6
142,8
247,6
241,9
253,8
251,6
187,6
305,4
283,7
198,7
299,6
211,6
268,5
227,7
269,9
249,7
256,4
270,7
216,6
290,9
247,5
254,5
300,8
264,4
294,7
193,9
223,7
190,9
172,10
170,7
261,9
224,9
225,8
241,7
187,8
259,9
229,9
222,9
252,9
211,7
235,10
283,9
246,6
205,6
231,6
217,8
166,9
294,7
248,7
360,8
241,6
377,6
206,9
251,6
152,9
208,7
245,8
221,5
177,5
272,5
190,8
243,8
206,6
180,5
238,8
195,7
221,8
278,8
301,10
233,8
326,9
274,10
231,5
302,6
218,10
181,4
253,9
293,9
248,8
224,5
289,6
252,7
165,7
331,8
353,8
255,4
248,9
283,5
255,9
304,6
193,7
269,6
239,9
265,8
225,8
299,9
144,7
173,8
328,3
253,5
254,9
222,6
168,7
299,10
200,9
235,7
195,7
237,8
327,8
315,8
190,8
230,9
302,8
305,9
242,4
264,7
200,7
322,9
186,7
263,8
195,10
226,7
306,7
214,9
280,9
213,5
225,8
291,5
202,5
209,6
174,9
350,6
234,2
247,6
179,7
212,5
260,8
219,8
209,6
177,4
203,9
251,8
232,9
213,6
172,5
266,8
164,8
266,3
240,8
176,8
281,5
302,5
233,7
274,6
251,7
210,8
290,8
310,6
231,6
230,6
300,5
244,6
301,5
234,8
177,8
272,8
273,6
251,7
296,9
286,6
196,6
271,9
276,8
226,8
223,5
240,9
232,8
329,8
189,9
317,5
187,9
297,7
251,3
321,8
297,7
243,8
242,8
131,6
250,9
333,5
279,5
323,9
268,6
353,8
249,6
299,3
291,4
269,10
230,8
335,9
349,6
230,8
197,8
170,5
214,4
218,9
234,4
344,8
252,7
230,9
292,5
206,8
233,6
232,8
236,8
210,9
233,6
173,6
267,7
240,6
216,9
152,5
213,9
269,9
248,6
171,8
225,8
284,5
225,8
312,5
234,7
341,5
244,10
297,5
267,6
202,7
296,8
196,7
232,5
230,7
205,6
261,7
263,5
229,9
242,10
263,6
161,6
185,9
244,5
190,7
296,7
269,8
249,7
283,6
303,4
246,8
267,8
192,5
246,8
273,8
256,4
275,3
338,8
307,6
317,8
278,6
357,7
200,7
167,7
274,7
262,6
245,9
275,7
298,6
314,9
284,6
155,7
328,8
269,8
258,9
264,9
302,5
241,9
212,8
200,9
198,5
144,6
197,8
179,8
206,5
257,9
222,5
201,9
199,6
163,10
250,6
222,7
309,6
263,9
418,8
215,8
234,6
254,8
318,8
200,7
186,7
230,6
213,6
206,8
211,9
242,6
221,7
224,9
306,7
185,7
334,5
251,4
168,7
303,7
356,8
332,7
211,9
248,6
282,7
308,5
235,7
214,5
282,3
324,7
253,7
347,8
186,6
225,5
183,7
305,6
312,4
260,4
218,9
227,4
300,6
256,5
282,8
277,6
168,8
219,9
355,10
171,6
178,7
124,4
200,9
217,5
245,5
230,6
176,9
243,8
236,4
323,7
217,5
159,6
277,7
230,5
270,5
302,7
269,7
297,6
284,8
203,5
212,9
237,8
333,6
285,8
367,8
244,8
162,9
243,8
322,8
258,9
184,5
228,7
199,8
233,8
234,9
234,4
255,8
249,9
259,9
327,9
229,6
277,8
314,7
304,8
243,6
292,9
265,5
281,5
296,4
239,8
260,8
325,7
176,8
231,6
207,4
345,8
221,6
237,9
263,8
256,9
349,4
263,6
258,9
279,4
248,5
312,6
287,6
283,6
292,7
318,7
261,6
259,6
324,5
257,6
145,7
327,8
288,5
261,7
295,8
272,7
323,8
223,9
232,9
239,8
344,8
195,9
251,9
215,5
233,7
302,6
372,8
188,8
314,5
216,7
250,5
168,6
234,6
180,9
275,8
306,9
289,8
246,8
277,8
283,8
300,8
159,8
234,8
235,6
352,7
206,8
237,4
148,7
206,5
202,7
282,7
226,5
252,10
228,5
213,9
288,6
315,8
260,7
366,9
279,4
178,7
263,7
187,4
197,10
223,8
206,5
289,9
151,7
199,7
290,6
231,9
291,9
361,9
336,9
173,8
280,7
274,8
195,5
322,8
312,6
250,8
236,8
302,4
300,5
171,9
308,5
297,9
271,8
204,9
180,5
225,7
247,7
305,8
154,4
220,3
281,7
224,9
315,9
252,7
227,9
155,7
254,10
230,8
269,7
260,3
233,8
199,10
217,9
223,5
181,10
185,6
249,6
283,7
221,9
287,7
302,6
206,9
211,8
248,5
297,4
248,8
297,4
148,8
235,7
195,9
276,7
137,6
313,8
278,9
259,9
182,6
290,9
190,8
303,8
149,7
226,4
216,7
193,6
195,6
249,9
234,9
305,8
289,9
193,7
290,9
143,5
207,6
280,8
182,5
243,6
166,7
296,6
260,6
301,6
242,7
167,5
198,8
254,8
256,9
273,6
265,8
226,7
221,8
211,8
213,8
300,5
292,7
222,7
293,5
192,8
259,8
162,8
256,8
245,6
250,6
263,4
234,5
340,4
222,8
287,8
259,7
269,10
322,7
242,5
400,4
246,8
299,7
170,7
164,9
208,8
235,8
253,5
241,7
181,7
282,7
268,7
257,3
205,9
312,9
301,9
295,3
261,5
213,9
329,5
298,9
264,7
277,6
235,8
303,8
166,7
124,7
216,7
277,7
276,10
206,6
277,8
212,8
299,5
298,5
285,8
232,9
228,9
195,5
257,6
301,6
287,3
267,4
291,7
278,6
188,9
173,7
275,7
300,9
232,9
327,7
215,7
329,7
298,8
233,8
279,7
216,6
210,9
155,7
295,7
306,8
208,6
307,4
279,7
287,8
218,8
278,7
296,7
215,8
193,7
243,8
223,9
258,8
202,3
265,8
259,7
221,7
252,9
289,7
255,7
263,9
314,9
233,8
310,8
258,5
194,8
258,10
259,9
203,8
196,8
288,9
262,5
222,8
250,6
261,8
156,8
232,6
235,5
299,7
273,5
307,7
273,8
199,8
256,9
364,8
241,6
273,8
190,5
257,8
228,8
230,7
227,10
168,6
207,10
229,8
190,6
151,9
216,6
144,6
195,4
237,3
244,4
211,8
337,5
227,8
224,6
224,8
339,6
290,9
172,6
287,8
199,9
223,3
190,9
276,9
251,5
112,10
263,5
273,6
365,5
267,9
255,5
270,4
265,5
237,7
288,9
255,8
281,9
200,6
309,8
276,5
198,9
179,8
288,7
288,6
254,10
245,4
250,8
261,5
279,6
256,8
237,6
167,3
172,8
311,9
199,8
228,7
228,7
299,8
240,8
244,9
244,6
226,7
280,8
264,6
306,10
278,7
277,5
281,8
223,7
243,8
219,7
256,9
248,8
287,8
297,8
204,9
219,5
274,7
304,9
325,9
282,6
288,4
292,6
241,7
325,6
222,8
271,8
223,8
185,7
263,9
263,8
262,6
209,8
238,8
305,7
259,7
317,7
266,7
271,8
256,6
306,9
232,7
305,7
297,7
262,7
242,7
289,6
271,8
252,7
287,9
316,8
218,6
186,7
224,9
139,9
291,5
283,9
273,5
318,10
186,9
293,5
241,8
270,7
259,8
277,6
285,8
199,5
230,6
263,10
226,8
352,6
287,6
265,7
225,9
268,10
308,6
262,9
220,8
222,8
172,5
240,6
313,7
247,7
217,7
209,8
357,7
231,8
322,8
332,6
142,5
283,3
232,5
230,8
220,7
297,5
245,8
348,6
296,7
264,8
239,9
251,8
299,7
208,6
237,7
249,9
283,5
221,7
278,5
258,6
235,8
269,10
290,3
339,8
329,5
289,7
206,2
270,9
248,8
302,9
245,7
230,9
289,4
172,6
265,9
268,6
352,4
226,8
242,9
208,8
224,5
293,7
256,8
268,7
192,8
236,8
